"X","Variety","Centre","SNPsubsp","K9.group","country","region","readepth","Filtered.insertions","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
163,"IRIS 313-10965","IRIS","AUS","cA","Bangladesh","SAS",16.48,19028,1,2,5,8.7,2.6,4,1,2.2,1,4.21950770517611,1
164,"IRIS 313-10968","IRIS","IND","XI-1A","Brazil","AME",20.24,18743,1,2,3,8.2,3.1,3,1,2.5,2,4.21950770517611,1
165,"IRIS 313-10975","IRIS","IND","XI-2","Bangladesh","SAS",29.44,18585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,"IRIS 313-10980","IRIS","IND","admix","Bangladesh","SAS",16.56,18246,2,2,3,8.5,3,3,1,2.9,2,4.39444915467244,2
167,"IRIS 313-10984","IRIS","IND","XI-2","Bangladesh","SAS",16.03,18833,1,2,3,8.6,3.4,4,1,3,2,4.49980967033027,1
168,"IRIS 313-10986","IRIS","IND","XI-2","Bangladesh","SAS",29.17,15962,1,2,5,8.2,3.3,4,1,2.3,2,4.49980967033027,2
169,"IRIS 313-10988","IRIS","IND","XI-adm","India","SAS",15.89,18283,1,2,5,9.1,2.9,2,1,2.4,1,4.34380542185368,2
170,"IRIS 313-10990","IRIS","IND","XI-adm","Philippines","SEA",16.44,16976,2,2,5,7.5,3.5,4,1,2.6,2,4.44265125649032,1
171,"IRIS 313-10994","IRIS","JAP","GJ-trp","Philippines","SEA",17.9,17759,1,2,5,8.9,3.3,4,1,2.6,NA,4.56434819146784,1
172,"IRIS 313-10995","IRIS","IND","XI-3","Indonesia","SEA",16,17317,1,2,5,7.8,3.1,4,1,2.6,1,4.76217393479776,2
173,"IRIS 313-10997","IRIS","IND","XI-3","Indonesia","SEA",15.23,17401,1,2,5,9,2.9,4,1,2,1,4.70048036579242,2
174,"IRIS 313-10999","IRIS","JAP","GJ-trp","Indonesia","SEA",18.41,17660,2,2,5,9.5,3,3,1,2.8,1,4.21950770517611,1
175,"IRIS 313-11005","IRIS","JAP","GJ-trp","Indonesia","SEA",15.41,18032,2,2,5,9,3.4,4,1,2.6,1,4.70048036579242,2
176,"IRIS 313-11007","IRIS","JAP","GJ-trp","Indonesia","SEA",15,18306,2,2,5,8.3,3.5,4,1,2.7,1,4.70048036579242,1
177,"IRIS 313-11016","IRIS","AUS","cA","Bangladesh","SAS",17.38,19240,1,2,5,8.1,2.7,3,2,1.9,2,4.40671924726425,1
178,"IRIS 313-11024","IRIS","AUS","cA","Pakistan","SAS",17.6,19260,2,2,3,9.9,3,3,1,3,2,4.35670882668959,1
179,"IRIS 313-11027","IRIS","AUS","cA","Pakistan","SAS",21.52,14221,1,1,1,7.3,2,3,2,1.2,2,4.35670882668959,2
180,"IRIS 313-11032","IRIS","ARO","cB","Pakistan","SAS",16,19896,2,2,3,9.6,2.4,3,2,2.4,1,4.57471097850338,2
181,"IRIS 313-11033","IRIS","IND","admix","Pakistan","SAS",25.02,17672,1,2,5,9.6,3,4,1,2.7,NA,4.35670882668959,2
182,"IRIS 313-11034","IRIS","AUS","cA","Pakistan","SAS",16.41,19619,1,2,1,8.7,2.5,3,1,1.8,1,4.27666611901606,2
183,"IRIS 313-11035","IRIS","AUS","admix","Pakistan","SAS",20.12,19129,1,2,5,10,2.1,4,1,1.2,1,4.43081679884331,1
184,"IRIS 313-11037","IRIS","AUS","cA","Pakistan","SAS",22.68,18765,1,2,5,8,2.8,2,1,2.1,1,4.35670882668959,1
185,"IRIS 313-11038","IRIS","IND","XI-1A","China","EAS",20.92,18591,1,1,1,9,3.2,2,1,2.6,1,4.12713438504509,1
186,"IRIS 313-11039","IRIS","IND","XI-1A","China","EAS",31.62,18401,1,1,1,7.2,3.2,2,2,2.5,1,4.24849524204936,1
187,"IRIS 313-11040","IRIS","IND","XI-adm","India","SAS",20.69,18343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"IRIS 313-11042","IRIS","IND","XI-adm","India","SAS",19.58,18575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"IRIS 313-11043","IRIS","IND","XI-3","Malaysia","SEA",19.68,18712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,"IRIS 313-11044","IRIS","JAP","GJ-trp","Malaysia","SEA",24.14,19643,1,2,3,8.2,3.7,4,1,2.9,1,4.70048036579242,2
191,"IRIS 313-11045","IRIS","JAP","GJ-trp","Malaysia","SEA",22.7,19366,2,2,5,8.3,3.6,4,1,2.7,2,4.70048036579242,2
192,"IRIS 313-11046","IRIS","JAP","GJ-trp","Malaysia","SEA",28.5,20588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,"IRIS 313-11047","IRIS","AUS","cA","Bangladesh","SAS",24.27,19335,1,2,3,7.7,3.1,3,1,2.1,1,4.21950770517611,2
