"X","Variety","Centre","SNPsubsp","K9.group","country","region","readepth","Filtered.insertions","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
78,"IRIS 313-10693","IRIS","JAP","GJ-trp","Indonesia","SEA",15.59,20347,2,1,7,8.9,3.3,3,1,3.6,2,4.71849887129509,1
79,"IRIS 313-10697","IRIS","IND","XI-3","Malaysia","SEA",17.13,19124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"IRIS 313-10703","IRIS","JAP","GJ-trp","Malaysia","SEA",15.17,20629,2,1,5,9.2,3.1,3,1,2.8,2,4.51085950651685,1
81,"IRIS 313-10706","IRIS","IND","XI-3","Malaysia","SEA",22.26,19052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"IRIS 313-10707","IRIS","IND","XI-3","Malaysia","SEA",15.09,19123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"IRIS 313-10710","IRIS","JAP","GJ-trp","Surinam","AME",15.19,20708,2,2,3,8,3.4,3,1,2.9,2,4.51085950651685,1
84,"IRIS 313-10712","IRIS","JAP","GJ-trp","Ivory_Coast","AFR",15.45,15205,2,1,3,9.6,3.7,3,1,3.4,1,4.51085950651685,1
85,"IRIS 313-10718","IRIS","AUS","cA","Sri_Lanka","SAS",21.38,13531,1,2,3,7.3,2.9,3,1,2.2,2,4.34380542185368,2
86,"IRIS 313-10723","IRIS","IND","XI-2","Senegal","AFR",15.93,14012,2,2,3,8.1,2.8,4,1,2.4,2,4.77912349311153,1
87,"IRIS 313-10725","IRIS","IND","XI-adm","Senegal","AFR",24.25,19593,2,2,3,8.7,3.4,4,1,3.1,1,4.58496747867057,1
88,"IRIS 313-10726","IRIS","IND","XI-3","Senegal","AFR",22.42,19769,2,2,3,9.2,2.5,4,1,2.1,1,4.77912349311153,1
89,"IRIS 313-10727","IRIS","IND","XI-3","Senegal","AFR",20.35,14015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"IRIS 313-10728","IRIS","IND","XI-adm","Senegal","AFR",16.53,19866,1,2,1,7.9,3.2,4,1,2.5,1,4.83628190695148,1
91,"IRIS 313-10733","IRIS","IND","XI-adm","Nepal","SAS",15.04,19688,1,2,5,9.6,3,3,1,2.2,2,4.51085950651685,2
92,"IRIS 313-10744","IRIS","JAP","GJ-trp","Indonesia","SEA",17.25,20459,1,1,5,6.9,3.2,3,1,2.3,1,4.74493212836325,1
93,"IRIS 313-10748","IRIS","IND","XI-adm","Vietnam","SEA",19.41,19724,1,2,5,8.6,2.6,3,1,2,1,4.23410650459726,1
94,"IRIS 313-10756","IRIS","IND","XI-2","India","SAS",15.28,20000,1,2,1,7.6,2.9,2,1,2.1,1,4.29045944114839,1
95,"IRIS 313-10762","IRIS","IND","XI-3","Indonesia","SEA",20.14,19472,2,2,7,8.4,3,3,1,2.9,2,4.70953020131233,1
96,"IRIS 313-10771","IRIS","ADM","GJ-trp","Indonesia","SEA",15.33,19299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"IRIS 313-10774","IRIS","IND","XI-adm","Indonesia","SEA",17.72,19122,2,2,3,9.5,3,3,1,2.6,2,4.70953020131233,1
98,"IRIS 313-10778","IRIS","IND","XI-3","Indonesia","SEA",18.56,18641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"IRIS 313-10779","IRIS","IND","XI-3","Indonesia","SEA",16.07,18681,1,2,5,9.5,2.3,3,1,2.3,2,4.74493212836325,2
100,"IRIS 313-10786","IRIS","ADM","XI-3","Indonesia","SEA",16.36,13694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"IRIS 313-10787","IRIS","ADM","XI-3","Indonesia","SEA",17.23,17517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"IRIS 313-10789","IRIS","JAP","GJ-trp","Indonesia","SEA",15.2,20004,1,2,7,9.6,3.1,4,1,3.4,1,4.66343909411207,1
103,"IRIS 313-10793","IRIS","JAP","GJ-trp","Indonesia","SEA",22.02,19878,2,2,5,7.8,3.6,4,1,2.5,2,4.38202663467388,1
104,"IRIS 313-10794","IRIS","JAP","GJ-trp","Indonesia","SEA",15.56,19741,2,1,5,8.6,3,4,1,2.1,2,4.47733681447821,1
105,"IRIS 313-10797","IRIS","IND","XI-3","Indonesia","SEA",15.58,18910,2,2,5,9.8,2.7,4,1,2.7,1,4.74493212836325,2
106,"IRIS 313-10798","IRIS","JAP","GJ-trp","Indonesia","SEA",19.82,20063,1,1,5,6.9,3.5,3,1,2.2,NA,4.38202663467388,1
107,"IRIS 313-10802","IRIS","JAP","GJ-trp","Indonesia","SEA",16.02,18740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"IRIS 313-10805","IRIS","JAP","GJ-trp","Indonesia","SEA",15.16,20763,2,1,5,8.3,3.4,3,1,2.6,2,4.59511985013459,1
109,"IRIS 313-10806","IRIS","IND","XI-3","Indonesia","SEA",15.33,19574,1,2,5,8.9,2.8,3,1,2.2,NA,4.78749174278205,1
110,"IRIS 313-10810","IRIS","IND","XI-3","Indonesia","SEA",16.31,20132,2,2,5,9.6,3.3,4,1,2.7,NA,4.66343909411207,1
111,"IRIS 313-10813","IRIS","IND","XI-3","Indonesia","SEA",18.65,20042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"IRIS 313-10814","IRIS","IND","XI-3","Indonesia","SEA",22.69,19966,2,1,3,9.6,2.6,4,1,2.3,1,4.74493212836325,1
113,"IRIS 313-10816","IRIS","JAP","GJ-trp","Indonesia","SEA",16.11,20588,1,2,5,8.5,3.6,3,1,2.8,1,4.78749174278205,1
114,"IRIS 313-10820","IRIS","IND","XI-3","Indonesia","SEA",15.16,19854,2,2,3,8.5,3.1,3,1,2.6,2,4.66343909411207,1
115,"IRIS 313-10822","IRIS","IND","XI-3","Indonesia","SEA",15.62,20306,2,2,5,6.6,3.2,4,1,2,1,4.78749174278205,1
116,"IRIS 313-10824","IRIS","IND","XI-3","Indonesia","SEA",18.28,18567,2,2,5,9.3,2.7,4,1,2.6,2,4.68213122712422,1
117,"IRIS 313-10825","IRIS","IND","XI-adm","na","na",20.02,17952,2,2,5,8.2,3,4,1,2.6,1,4.68213122712422,2
118,"IRIS 313-10827","IRIS","JAP","GJ-trp","Philippines","SEA",16.19,19524,1,2,5,8.7,2.9,3,1,2.2,2,4.34380542185368,1
119,"IRIS 313-10834","IRIS","JAP","GJ-sbtrp","India","SAS",16.71,20059,1,2,5,8.9,3.2,2,2,2.4,2,4.30406509320417,1
120,"IRIS 313-10835","IRIS","IND","XI-2","India","SAS",15.93,18162,1,2,3,8.3,3,4,1,2.2,1,4.24849524204936,2
121,"IRIS 313-10840","IRIS","JAP","GJ-tmp","South_Korea","EAS",17.73,20478,1,2,5,6.6,3.3,2,1,2.4,2,4.0943445622221,2
122,"IRIS 313-10845","IRIS","AUS","cA","India","SAS",15.82,19076,1,2,5,8.4,3,3,1,2.4,2,4.77068462446567,2
123,"IRIS 313-10847","IRIS","IND","XI-adm","India","SAS",20.85,19020,2,2,1,8.4,3.4,4,1,2.8,1,4.86753445045558,1
124,"IRIS 313-10850","IRIS","ADM","admix","India","SAS",30.71,17500,2,1,7,8.4,3.8,4,1,2.8,2,4.39444915467244,1
125,"IRIS 313-10851","IRIS","ARO","cB","India","SAS",24.71,18746,2,2,3,8.4,3,3,1,2.3,NA,4.86753445045558,1
126,"IRIS 313-10852","IRIS","AUS","cA","India","SAS",33.71,18978,2,2,1,7.2,3.5,3,1,2.1,2,4.12713438504509,1
127,"IRIS 313-10857","IRIS","AUS","admix","India","SAS",30.42,18334,1,2,1,10.3,2,3,1,2.5,1,4.45434729625351,2
128,"IRIS 313-10858","IRIS","AUS","XI-adm","India","SAS",38.14,18966,1,2,3,9.1,2.9,4,1,2.1,1,4.45434729625351,1
129,"IRIS 313-10859","IRIS","AUS","XI-adm","India","SAS",22.48,18807,2,2,NA,7.6,2.4,3,1,1.6,2,4.39444915467244,2
130,"IRIS 313-10861","IRIS","AUS","cA","India","SAS",28.32,19006,2,2,5,8.1,3.3,3,1,2.4,2,4.21950770517611,1
131,"IRIS 313-10863","IRIS","IND","XI-2","India","SAS",31.61,18791,2,2,5,8.7,3.1,4,1,2.6,2,4.83628190695148,1
132,"IRIS 313-10870","IRIS","JAP","GJ-sbtrp","India","SAS",27.32,19616,2,1,5,5.7,3.1,4,1,1.7,1,4.39444915467244,1
133,"IRIS 313-10871","IRIS","AUS","cA","India","SAS",24.49,18388,2,2,3,8.3,3.2,4,1,2.1,2,4.24849524204936,2
134,"IRIS 313-10872","IRIS","ADM","GJ-adm","India","SAS",28.59,19025,1,2,7,9.3,3.1,3,1,2.6,2,4.34380542185368,1
135,"IRIS 313-10883","IRIS","ARO","admix","India","SAS",17.09,18696,1,2,5,10.8,2.9,3,1,2.7,2,4.45434729625351,1
136,"IRIS 313-10888","IRIS","JAP","GJ-sbtrp","India","SAS",15.33,18938,1,1,7,10.1,3.3,3,1,2.6,2,4.24849524204936,1
137,"IRIS 313-10889","IRIS","JAP","GJ-sbtrp","India","SAS",16.02,18966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"IRIS 313-10891","IRIS","AUS","cA","India","SAS",17.26,18260,2,2,5,7.7,2.8,4,1,1.6,2,4.39444915467244,2
139,"IRIS 313-10892","IRIS","AUS","cA","India","SAS",27.38,16127,1,2,3,7.4,2.7,3,1,1.5,2,4.24849524204936,1
140,"IRIS 313-10894","IRIS","AUS","admix","India","SAS",20.01,18528,2,2,3,9.2,3.1,5,1,2.6,2,4.39444915467244,1
141,"IRIS 313-10895","IRIS","JAP","GJ-sbtrp","India","SAS",16.96,18953,2,2,5,6.7,2.5,4,1,1.2,2,4.39444915467244,2
142,"IRIS 313-10900","IRIS","IND","XI-3","Cambodia","SEA",16,19019,2,2,5,8.6,3.1,4,1,2.3,2,4.93447393313069,2
143,"IRIS 313-10912","IRIS","IND","XI-3","Cambodia","SEA",16.87,18874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"IRIS 313-10916","IRIS","JAP","GJ-tmp","Cambodia","SEA",17.76,20449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"IRIS 313-10918","IRIS","ADM","GJ-trp","Philippines","SEA",29.77,19102,2,1,5,8.7,3.9,3,2,2.8,NA,4.77068462446567,1
146,"IRIS 313-10921","IRIS","IND","XI-adm","Laos","SEA",15.2,18945,2,1,3,9,3.1,3,2,2.7,2,4.43081679884331,1
147,"IRIS 313-10922","IRIS","JAP","GJ-sbtrp","Laos","SEA",15.6,20364,2,1,5,9.9,3.9,3,2,3.9,1,4.67282883446191,1
148,"IRIS 313-10923","IRIS","JAP","GJ-sbtrp","Thailand","SEA",19,19948,2,1,3,9.8,3.6,3,1,3.2,1,4.66343909411207,1
149,"IRIS 313-10927","IRIS","AUS","cA","Nepal","SAS",18.62,18523,2,2,3,8.8,3.4,4,1,2.4,1,4.55387689160054,2
150,"IRIS 313-10928","IRIS","IND","XI-3","Thailand","SEA",16.3,19199,1,2,5,9.6,2.5,3,1,2.4,2,4.20469261939097,1
151,"IRIS 313-10930","IRIS","AUS","cA","Bangladesh","SAS",15.95,18971,2,2,3,7.5,3.2,2,1,2.8,1,4.38202663467388,2
152,"IRIS 313-10936","IRIS","JAP","GJ-trp","Indonesia","SEA",15.22,19522,2,2,5,9.9,2.8,4,1,2.3,2,4.74493212836325,1
153,"IRIS 313-10937","IRIS","IND","XI-3","Indonesia","SEA",17.97,18896,2,2,3,7.8,3.4,4,1,2.5,NA,4.96284463025991,1
154,"IRIS 313-10938","IRIS","IND","XI-3","Indonesia","SEA",18.16,18745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,"IRIS 313-10941","IRIS","IND","XI-adm","Indonesia","SEA",21.18,19054,2,2,5,9.9,2.9,3,1,2,1,4.68213122712422,1
156,"IRIS 313-10942","IRIS","IND","XI-3","Indonesia","SEA",17.33,18941,1,1,1,8.9,2.9,3,1,2.3,1,4.78749174278205,1
157,"IRIS 313-10944","IRIS","IND","XI-3","Indonesia","SEA",18.29,18375,2,2,3,8.8,3.1,4,1,1.9,1,4.89783979995091,1
158,"IRIS 313-10948","IRIS","ADM","admix","Indonesia","SEA",16.81,16901,2,1,7,8.5,2.7,5,2,2.3,2,4.71849887129509,1
159,"IRIS 313-10949","IRIS","JAP","GJ-trp","Indonesia","SEA",16.36,19355,2,1,3,7.7,3.7,4,1,2.9,1,4.53259949315326,1
160,"IRIS 313-10954","IRIS","IND","XI-3","Indonesia","SEA",20.89,18852,2,2,5,8.4,3.2,4,1,3,1,4.74493212836325,1
161,"IRIS 313-10960","IRIS","JAP","GJ-trp","Indonesia","SEA",18.16,19570,2,2,5,8.9,2.7,4,1,2.3,2,4.63472898822964,1
162,"IRIS 313-10961","IRIS","IND","XI-3","Indonesia","SEA",15.91,18979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
