Variety,Group,Status,Country,Culm.diameter...1st.internode,culm.strength,flag.leaf.angle,grain.length,grain.width,leaf.length,leaf.senescence,Grain.weight,Salt.injury.at.EC12,Time.to.flowering..from.sowing,panicle.threshability
IRIS 313-12054,JAP,I,China,NA,2,3,7.5,3.2,NA,2,2.5,2,4.234106505,1
IRIS 313-12058,IND,T,Cambodia,2,2,5,6.8,2.7,4,2,2.2,1,5.087596335,2
IRIS 313-12060,JAP,NA,China,2,1,5,7,3.1,3,2,2.4,2,4.110873864,1
IRIS 313-12061,JAP,NA,China,2,1,5,6.2,3,2,1,2.1,1,4.219507705,1
IRIS 313-12068,JAP,T,Indonesia,2,1,5,9.2,3.2,4,2,2.9,1,4.59511985,2
IRIS 313-12071,JAP,NA,Laos,2,1,5,9.1,3.2,3,2,3.1,2,4.317488114,2
IRIS 313-12094,ARO,T,Bangladesh,2,1,5,4.7,2.1,NA,2,1.3,1,4.844187086,2
IRIS 313-12097,IND,T,Cambodia,2,1,5,7,2.7,2,2,1.6,NA,5.147494477,2
IRIS 313-12101,IND,T,Cambodia,2,2,3,6.2,2.1,NA,2,1.7,2,5.214935758,1
IRIS 313-12108,JAP,NA,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-12118,ADM,NA,Madagascar,2,1,1,6,2,3,2,2.2,1,4.787491743,2
IRIS 313-12121,IND,T,Laos,2,1,5,7.1,2.2,3,2,1.8,2,4.812184355,2
IRIS 313-12127,IND,T,Laos,2,1,3,6.7,2.7,3,2,3.7,1,4.812184355,2
IRIS 313-12128,IND,T,Laos,2,1,5,7.6,2,4,2,2.6,1,4.844187086,2
IRIS 313-12129,JAP,T,Laos,2,1,7,7,3.4,3,2,3.8,1,4.521788577,2
IRIS 313-12131,IND,NA,Laos,2,1,5,7.4,2.4,4,2,2.2,1,4.644390899,2
IRIS 313-12134,JAP,T,Laos,2,1,7,7,3,3,1,2.9,NA,4.644390899,1
IRIS 313-12135,IND,NA,Malaysia,1,1,3,6.7,1.8,2,2,2,1,4.356708827,2
IRIS 313-12141,AUS,T,Bangladesh,1,1,5,6,2.1,3,2,2.5,2,4.394449155,2
IRIS 313-12146,IND,T,Cambodia,2,1,3,8.2,2.8,4,2,2.2,2,4.882801923,2
IRIS 313-12164,JAP,T,Cambodia,2,1,5,6.2,2.2,3,2,2.9,2,4.290459441,2
IRIS 313-12183,AUS,T,Nepal,2,1,3,7.4,3.6,3,2,2.1,1,4.736198448,1
IRIS 313-12188,IND,NA,Laos,2,1,3,9.6,2.7,3,2,2.2,1,4.753590191,2
IRIS 313-12190,IND,T,Laos,2,1,3,10.1,2.9,4,2,3.3,1,4.718498871,2
IRIS 313-12193,IND,T,Laos,2,1,7,9.9,3.6,3,2,3.6,2,4.779123493,2
IRIS 313-12228,JAP,T,Laos,2,1,7,9.3,3.3,3,2,3.8,2,4.521788577,2
IRIS 313-12234,IND,NA,China,1,1,3,7.9,2.8,3,2,3,2,4.59511985,2
IRIS 313-12258,JAP,T,Laos,2,1,7,8.5,3.5,3,2,3.1,1,4.48863637,2
IRIS 313-12259,IND,NA,Laos,2,1,5,9.3,3.5,3,2,2.7,2,4.905274778,1
IRIS 313-12262,JAP,NA,Laos,2,2,7,10.4,3.3,3,2,3.4,2,4.406719247,2
IRIS 313-12268,IND,T,Myanmar,2,1,3,8.5,2.8,4,2,2.7,2,4.663439094,2
IRIS 313-12275,IND,NA,China,2,1,5,9.3,2.8,3,2,2.5,2,4.343805422,2
IRIS 313-12281,JAP,NA,Madagascar,2,1,7,8.9,3.8,4,1,3.1,2,4.574710979,1
IRIS 313-12287,IND,T,Myanmar,2,1,3,9.7,2.7,3,2,2.6,1,4.859812404,2
IRIS 313-12289,JAP,T,Myanmar,2,1,7,9.8,3.6,3,2,3.3,1,4.543294782,1
IRIS 313-12291,IND,T,Myanmar,2,1,5,8.7,2.9,3,2,2.6,2,4.828313737,2
IRIS 313-12300,IND,T,Laos,2,1,3,8.6,3,3,2,2.2,1,4.510859507,2
IRIS 313-12303,IND,T,Laos,2,1,3,9.4,3.4,4,2,3,1,4.852030264,1
IRIS 313-12305,IND,T,Laos,2,1,3,8.1,3.5,3,2,1.5,1,4.852030264,2
IRIS 313-12307,JAP,NA,Laos,2,1,7,9.5,4.2,3,2,2.9,1,4.532599493,2
IRIS 313-12312,JAP,NA,Laos,2,1,7,8.9,3.6,3,2,3.3,2,4.48863637,1
IRIS 313-12321,JAP,T,Laos,2,1,7,8.4,3.5,3,2,3.3,2,4.430816799,2
IRIS 313-12323,JAP,T,Laos,2,2,5,10.9,3.7,3,1,4.5,NA,4.454347296,2
IRIS 313-12334,IND,T,Laos,2,1,3,10.7,3.6,3,2,3,2,4.48863637,2
IRIS 313-12349,JAP,NA,Laos,2,1,7,8.8,4,4,2,4.7,2,4.510859507,2
IRIS 313-12350,JAP,T,Laos,2,1,7,9.1,3.8,4,2,3.3,2,4.48863637,1
IRIS 313-12351,JAP,T,Laos,2,1,7,10.3,4.3,3,2,4.5,NA,4.510859507,2
IRIS 313-12354,IND,T,Laos,2,1,1,9.5,3.3,3,2,2.8,1,4.718498871,1
IRIS 313-12355,IND,T,Laos,2,1,1,10.6,2.8,3,2,2.9,1,4.605170186,2
IRIS 313-15900,IND,I,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
IRIS 313-15908,AUS,I,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
IRIS 313-15910,JAP,I,United_States,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
IRIS 313-7638,IND,NA,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7646,ADM,NA,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7650,IND,NA,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7685,IND,I,Philippines,1,1,1,9,2.1,2,2,2.2,NA,4.454347296,2
IRIS 313-7688,IND,I,Philippines,1,1,3,9.3,2.6,3,1,2.5,NA,4.543294782,1
IRIS 313-7689,IND,I,Philippines,1,2,1,8.9,2.4,2,2,2.4,NA,4.465908119,2
IRIS 313-7719,IND,NA,Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7722,ADM,NA,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7725,ADM,T,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7795,ADM,T,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7797,IND,I,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7799,IND,NA,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7808,IND,I,Senegal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7816,IND,I,Senegal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7850,JAP,NA,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7866,ADM,I,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7876,JAP,T,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7883,JAP,T,Indonesia,2,1,7,8.5,3.6,3,1,3,NA,4.634728988,1
IRIS 313-7902,JAP,I,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7909,ADM,I,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7911,IND,I,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7914,JAP,I,Ivory_Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7924,ADM,I,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-7933,ADM,T,Nepal,1,1,5,7.6,3.4,2,1,2.8,NA,4.219507705,2
IRIS 313-7994,JAP,T,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8010,JAP,I,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8024,JAP,NA,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8037,JAP,NA,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8064,JAP,I,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8066,JAP,NA,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8074,JAP,I,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8085,JAP,NA,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8115,JAP,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8118,JAP,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8119,JAP,NA,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8123,JAP,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8125,JAP,NA,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8127,JAP,NA,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8129,JAP,NA,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8140,JAP,NA,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8151,JAP,P,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8166,JAP,NA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8167,JAP,I,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8168,JAP,NA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8172,ADM,NA,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8173,JAP,I,United_States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8177,JAP,NA,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8185,JAP,NA,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8204,JAP,I,United_States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8208,JAP,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8293,IND,NA,Senegal,1,2,3,8.7,2.8,3,1,2.3,2,4.875197323,1
IRIS 313-8305,IND,T,India,1,1,5,9.6,3.2,4,1,3.2,2,4.430816799,2
IRIS 313-8312,IND,T,Malaysia,2,1,NA,8,3.3,4,2,2.1,1,5.087596335,1
IRIS 313-8321,AUS,P,Bangladesh,2,2,5,7.4,3.1,3,2,2.4,1,4.875197323,1
IRIS 313-8323,JAP,I,United_States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8326,ARO,NA,India,2,1,1,6.2,3.2,3,2,1.6,2,4.615120517,1
IRIS 313-8332,IND,NA,India,1,2,7,9.9,2.8,4,1,2.1,2,4.644390899,2
IRIS 313-8341,IND,NA,Vietnam,2,2,1,8.8,2.6,3,2,1.6,1,4.859812404,1
IRIS 313-8349,IND,T,Bangladesh,2,2,5,8.8,3.1,3,2,2.7,1,5.023880521,2
IRIS 313-8356,JAP,T,Philippines,2,1,3,8.3,3.8,3,1,3.8,2,4.477336814,1
IRIS 313-8381,JAP,T,Malaysia,2,1,5,8.4,3.9,3,1,3.3,2,4.672828834,2
IRIS 313-8386,IND,NA,India,1,2,3,9,3,4,1,2.6,1,4.624972813,1
IRIS 313-8391,IND,NA,Burkina_Faso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8407,IND,T,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8436,JAP,T,Indonesia,2,2,3,8.7,3.2,3,1,2.6,2,4.787491743,1
IRIS 313-8453,IND,NA,India,2,1,5,8.5,2.6,4,2,2,2,4.543294782,2
IRIS 313-8454,IND,NA,Taiwan,2,1,1,8.1,3.1,3,2,2.3,1,4.465908119,1
IRIS 313-8493,IND,T,Indonesia,2,1,3,7.5,2.6,3,1,1.9,1,5.049856007,2
IRIS 313-8530,IND,T,India,2,2,5,8.1,3.4,4,1,2.1,2,4.795790546,1
IRIS 313-8557,IND,T,Malaysia,1,2,7,8.5,2.8,3,1,2.1,1,4.882801923,1
IRIS 313-8568,IND,T,India,1,1,5,8.2,3,3,1,2.1,1,4.430816799,2
IRIS 313-8571,IND,T,Tanzania,2,1,3,10.8,3.2,4,2,3.3,2,4.744932128,2
IRIS 313-8585,IND,NA,India,2,2,3,9.1,3.1,4,1,2.7,2,4.624972813,1
IRIS 313-8586,IND,T,Thailand,NA,2,7,9.3,3.5,NA,2,3.6,2,4.804021045,1
IRIS 313-8595,IND,NA,Madagascar,2,1,3,10.3,2.9,4,2,3.1,2,4.564348191,NA
IRIS 313-8606,IND,P,na,2,2,5,8.4,2.9,4,1,2.1,1,4.941642423,2
IRIS 313-8627,JAP,I,United_States,2,1,5,9.6,3.1,3,1,3,2,4.406719247,1
IRIS 313-8641,AUS,P,Bangladesh,1,1,1,9,2.6,3,1,1.9,2,4.276666119,2
IRIS 313-8658,JAP,I,United_States,1,1,3,9,2.4,3,1,2.2,2,4.521788577,1
IRIS 313-8659,IND,NA,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8660,IND,T,Sri_Lanka,2,1,5,7.4,3.1,3,2,2.5,2,4.356708827,2
IRIS 313-8665,JAP,I,United_States,1,1,5,8.3,3.2,2,1,2.7,2,4.343805422,2
IRIS 313-8681,IND,T,Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8687,JAP,T,Guinea-Bissau,2,1,5,8.1,3.6,3,1,2.9,2,4.564348191,1
IRIS 313-8690,JAP,NA,Vietnam,1,1,1,7.9,3.7,3,1,2.6,1,4.624972813,1
IRIS 313-8703,IND,P,Bangladesh,2,1,1,8.5,3.1,4,2,2.4,1,4.912654886,1
IRIS 313-8725,IND,T,Indonesia,1,2,5,7.8,2.5,4,1,1.7,2,4.762173935,2
IRIS 313-8745,JAP,NA,Haiti,2,1,5,9.4,3.2,3,1,2.7,2,4.406719247,1
IRIS 313-8751,IND,NA,Myanmar,2,2,3,9.5,2.6,4,1,2.3,2,4.584967479,1
IRIS 313-8755,JAP,I,Japan,1,1,5,7.4,3.5,3,1,2.6,2,4.234106505,1
IRIS 313-8768,JAP,T,Ivory_Coast,2,1,5,9.3,3.2,3,1,2.6,2,4.615120517,1
IRIS 313-8803,JAP,I,United_States,2,1,1,9.6,2.4,4,1,1.9,2,4.543294782,1
IRIS 313-8864,AUS,T,Bangladesh,2,2,3,8.3,3.7,3,1,2.6,1,4.110873864,2
IRIS 313-8883,JAP,T,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8909,IND,T,Tanzania,2,1,5,9.8,2.7,4,2,2.4,1,4.927253685,2
IRIS 313-8911,ARO,T,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-8923,JAP,I,United_States,2,1,5,9.8,2.4,3,2,2.5,1,4.33073334,1
IRIS 313-8924,IND,T,India,1,1,3,8,3.1,3,2,2.3,2,4.624972813,1
IRIS 313-8925,IND,T,Sri_Lanka,1,2,3,8.4,3.1,3,1,2.3,1,4.564348191,2
IRIS 313-8930,IND,T,Bangladesh,1,1,5,7.9,3,3,2,2.7,1,4.644390899,2
IRIS 313-8935,IND,NA,India,2,1,3,8.4,2.3,3,2,1.7,2,4.584967479,2
IRIS 313-8940,IND,NA,China,1,1,3,7.9,2.9,2,1,1.8,1,4.406719247,2
IRIS 313-8948,IND,T,Philippines,2,1,5,8.7,2.9,4,2,2.5,2,4.820281566,1
IRIS 313-8967,IND,NA,India,2,2,5,9.6,2.8,4,1,2.3,2,4.624972813,2
IRIS 313-8982,AUS,NA,India,2,2,7,8.7,2.8,4,2,2.5,2,4.418840608,1
IRIS 313-8985,IND,T,Thailand,2,2,3,8.2,2.9,3,2,2.6,1,4.8978398,2
IRIS 313-8986,AUS,T,India,1,2,1,8.8,2.5,3,NA,2.3,2,4.406719247,2
IRIS 313-8988,IND,T,India,2,2,3,8.7,3,3,2,2.8,1,4.574710979,2
IRIS 313-9020,IND,T,Thailand,2,1,5,9.4,2.6,3,2,2.8,1,4.976733742,2
IRIS 313-9023,IND,P,India,1,1,1,9.2,2.9,2,1,2.5,1,4.553876892,1
IRIS 313-9039,IND,T,Sri_Lanka,2,1,3,5.7,3,4,2,1.7,1,4.736198448,2
IRIS 313-9048,JAP,T,Bhutan,1,2,5,7,2.9,3,2,2.1,2,4.49980967,2
IRIS 313-9066,IND,P,Bangladesh,2,2,NA,9.4,2.9,3,1,2.5,2,4.356708827,2
IRIS 313-9067,IND,T,Bangladesh,2,2,5,9.9,3.3,2,1,2.1,2,4.634728988,1
IRIS 313-9112,IND,NA,Thailand,2,1,3,9.8,2.7,4,2,2.4,1,4.875197323,1
IRIS 313-9116,IND,NA,Thailand,2,1,1,10,3,4,2,3,1,5.017279837,1
IRIS 313-9117,IND,T,Indonesia,2,1,5,8.3,2.7,4,2,2.2,1,5.099866428,2
IRIS 313-9121,IND,T,Thailand,2,2,5,10,3.1,3,1,3,1,4.882801923,2
IRIS 313-9131,IND,NA,Vietnam,2,2,5,9.3,2.9,3,2,2.5,NA,5.111987788,2
IRIS 313-9148,IND,P,Bangladesh,2,2,3,7.8,3.2,4,1,2.4,1,4.709530201,2
IRIS 313-9156,IND,I,Bangladesh,1,2,5,9.2,2.5,3,1,2.1,2,4.691347882,2
IRIS 313-9160,IND,NA,Senegal,2,2,5,8.8,2.6,4,2,1.9,2,4.882801923,1
IRIS 313-9182,IND,NA,Myanmar,1,1,3,NA,NA,2,2,NA,1,4.718498871,2
IRIS 313-9198,IND,NA,Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-9228,JAP,P,Japan,1,1,5,7.3,3.3,2,1,2.7,2,4.276666119,1
IRIS 313-9262,IND,T,Bangladesh,1,2,3,8.9,2.9,3,1,2.2,1,4.634728988,1
IRIS 313-9294,IND,NA,Gambia,2,1,3,8.6,2.5,2,2,2.5,2,4.955827058,2
IRIS 313-9320,IND,T,Indonesia,2,2,3,8.9,3.3,4,1,2.8,2,4.553876892,1
IRIS 313-9324,IND,T,China,2,2,3,8.3,2.8,3,2,2.4,2,4.406719247,1
IRIS 313-9372,IND,NA,China,2,1,1,7.8,3.2,2,2,2.4,2,4.49980967,1
IRIS 313-9379,JAP,T,South_Korea,1,1,5,6.7,3.4,2,1,2,2,4.382026635,1
IRIS 313-9384,IND,T,India,1,1,3,8,2.1,3,1,1.3,1,4.430816799,2
IRIS 313-9406,IND,T,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-9409,IND,T,Malaysia,2,1,5,9.6,2.7,4,2,2.4,1,5.111987788,1
IRIS 313-9422,AUS,T,Bangladesh,1,2,3,7.2,2.7,3,1,2,2,4.17438727,2
IRIS 313-9427,IND,NA,India,1,1,1,8.9,2.6,3,2,2.5,2,4.521788577,1
IRIS 313-9449,AUS,T,Pakistan,2,1,5,8.9,2.8,3,2,2.4,2,4.406719247,1
IRIS 313-9464,IND,I,Surinam,1,1,1,11.8,2.8,3,1,3.4,1,4.406719247,1
IRIS 313-9469,IND,T,China,2,2,1,8.6,3.4,3,2,2.8,1,4.406719247,1
IRIS 313-9470,JAP,T,Indonesia,2,1,5,7.9,2.9,3,2,2,2,4.753590191,2
IRIS 313-9472,IND,NA,Sri_Lanka,2,1,5,8.5,3.2,3,2,2.8,1,4.795790546,2
IRIS 313-9523,JAP,I,Japan,2,1,5,7.6,3.6,2,1,2.5,2,4.234106505,1
IRIS 313-9570,IND,NA,China,1,1,3,9.5,3,2,2,2.9,1,4.454347296,1
IRIS 313-9590,IND,T,Indonesia,2,2,5,8.4,2.8,4,1,2,1,4.605170186,2
IRIS 313-9594,IND,T,Bangladesh,2,1,3,7.5,3,3,2,2.6,1,4.736198448,2
IRIS 313-9602,IND,NA,Thailand,2,1,5,10.1,3,4,2,3,2,4.605170186,2
IRIS 313-9605,IND,T,India,NA,2,5,7.9,3,NA,2,2.2,1,4.430816799,1
IRIS 313-9626,AUS,T,Bangladesh,1,2,5,8.9,3.1,3,1,2.4,1,4.343805422,2
IRIS 313-9701,JAP,I,Taiwan,1,1,1,7.2,3.3,3,1,2.6,2,4.430816799,1
IRIS 313-9790,JAP,NA,Uruguay,2,1,5,8.3,3.3,2,1,2.8,1,4.248495242,1
IRIS 313-9917,IND,T,Sri_Lanka,NA,2,1,7.8,2.8,NA,2,2,1,4.317488114,1
IRIS 313-9922,IND,I,South_Korea,1,1,3,8,2.9,2,2,2.5,2,4.382026635,1
IRIS 313-9935,IND,NA,Guyana,1,2,5,8,2.5,3,2,1.9,1,4.86753445,1
IRIS 313-9936,IND,NA,Sri_Lanka,2,2,5,7.6,2.5,3,2,1.7,1,4.94875989,2
IRIS 313-9937,JAP,NA,Italy,1,1,5,9.8,3.3,3,1,2.8,1,4.33073334,1
IRIS 313-9944,IND,NA,Solomon_Islands,1,1,3,8.8,3.2,3,2,2.5,2,4.59511985,1
IRIS 313-9961,JAP,NA,Norway,1,1,5,8.9,3.3,2,2,2.7,2,4.189654742,1
IRIS 313-9963,AUS,NA,Sri_Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-9966,IND,P,Colombia,1,1,1,9.8,2.6,3,2,2.5,1,4.584967479,2
IRIS 313-9968,IND,T,Sri_Lanka,1,2,1,8,3.4,3,2,3,1,4.727387819,2
IRIS 313-9996,JAP,I,South_Korea,1,1,5,7.1,2.9,1,1,2.6,2,4.219507705,1
