Variety,Group,Status,Country,Culm.diameter...1st.internode,culm.strength,flag.leaf.angle,grain.length,grain.width,leaf.length,leaf.senescence,Grain.weight,Salt.injury.at.EC12,Time.to.flowering..from.sowing,panicle.threshability
IRIS 313-10728,IND,NA,Senegal,1,2,1,7.9,3.2,4,1,2.5,1,4.836281907,1
IRIS 313-10733,IND,NA,Nepal,1,2,5,9.6,3,3,1,2.2,2,4.510859507,2
IRIS 313-10744,JAP,T,Indonesia,1,1,5,6.9,3.2,3,1,2.3,1,4.744932128,1
IRIS 313-10748,IND,T,Vietnam,1,2,5,8.6,2.6,3,1,2,1,4.234106505,1
IRIS 313-10756,IND,I,India,1,2,1,7.6,2.9,2,1,2.1,1,4.290459441,1
IRIS 313-10762,IND,T,Indonesia,2,2,7,8.4,3,3,1,2.9,2,4.709530201,1
IRIS 313-10771,ADM,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10774,IND,T,Indonesia,2,2,3,9.5,3,3,1,2.6,2,4.709530201,1
IRIS 313-10778,IND,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10779,IND,T,Indonesia,1,2,5,9.5,2.3,3,1,2.3,2,4.744932128,2
IRIS 313-10786,ADM,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10787,ADM,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10789,JAP,T,Indonesia,1,2,7,9.6,3.1,4,1,3.4,1,4.663439094,1
IRIS 313-10793,JAP,T,Indonesia,2,2,5,7.8,3.6,4,1,2.5,2,4.382026635,1
IRIS 313-10794,JAP,T,Indonesia,2,1,5,8.6,3,4,1,2.1,2,4.477336814,1
IRIS 313-10797,IND,T,Indonesia,2,2,5,9.8,2.7,4,1,2.7,1,4.744932128,2
IRIS 313-10798,JAP,T,Indonesia,1,1,5,6.9,3.5,3,1,2.2,NA,4.382026635,1
IRIS 313-10802,JAP,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10805,JAP,T,Indonesia,2,1,5,8.3,3.4,3,1,2.6,2,4.59511985,1
IRIS 313-10806,IND,T,Indonesia,1,2,5,8.9,2.8,3,1,2.2,NA,4.787491743,1
IRIS 313-10810,IND,T,Indonesia,2,2,5,9.6,3.3,4,1,2.7,NA,4.663439094,1
IRIS 313-10813,IND,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10814,IND,T,Indonesia,2,1,3,9.6,2.6,4,1,2.3,1,4.744932128,1
IRIS 313-10816,JAP,T,Indonesia,1,2,5,8.5,3.6,3,1,2.8,1,4.787491743,1
IRIS 313-10820,IND,T,Indonesia,2,2,3,8.5,3.1,3,1,2.6,2,4.663439094,1
IRIS 313-10822,IND,T,Indonesia,2,2,5,6.6,3.2,4,1,2,1,4.787491743,1
IRIS 313-10824,IND,T,Indonesia,2,2,5,9.3,2.7,4,1,2.6,2,4.682131227,1
IRIS 313-10825,IND,NA,na,2,2,5,8.2,3,4,1,2.6,1,4.682131227,2
IRIS 313-10827,JAP,T,Philippines,1,2,5,8.7,2.9,3,1,2.2,2,4.343805422,1
IRIS 313-10834,JAP,I,India,1,2,5,8.9,3.2,2,2,2.4,2,4.304065093,1
IRIS 313-10835,IND,I,India,1,2,3,8.3,3,4,1,2.2,1,4.248495242,2
IRIS 313-10840,JAP,T,South_Korea,1,2,5,6.6,3.3,2,1,2.4,2,4.094344562,2
IRIS 313-10845,AUS,NA,India,1,2,5,8.4,3,3,1,2.4,2,4.770684624,2
IRIS 313-10847,IND,NA,India,2,2,1,8.4,3.4,4,1,2.8,1,4.86753445,1
IRIS 313-10850,ADM,NA,India,2,1,7,8.4,3.8,4,1,2.8,2,4.394449155,1
IRIS 313-10851,ARO,NA,India,2,2,3,8.4,3,3,1,2.3,NA,4.86753445,1
IRIS 313-10852,AUS,NA,India,2,2,1,7.2,3.5,3,1,2.1,2,4.127134385,1
IRIS 313-10857,AUS,NA,India,1,2,1,10.3,2,3,1,2.5,1,4.454347296,2
IRIS 313-10858,AUS,NA,India,1,2,3,9.1,2.9,4,1,2.1,1,4.454347296,1
IRIS 313-10859,AUS,NA,India,2,2,NA,7.6,2.4,3,1,1.6,2,4.394449155,2
IRIS 313-10861,AUS,NA,India,2,2,5,8.1,3.3,3,1,2.4,2,4.219507705,1
IRIS 313-10863,IND,NA,India,2,2,5,8.7,3.1,4,1,2.6,2,4.836281907,1
IRIS 313-10870,JAP,NA,India,2,1,5,5.7,3.1,4,1,1.7,1,4.394449155,1
IRIS 313-10871,AUS,NA,India,2,2,3,8.3,3.2,4,1,2.1,2,4.248495242,2
IRIS 313-10872,ADM,NA,India,1,2,7,9.3,3.1,3,1,2.6,2,4.343805422,1
IRIS 313-10883,ARO,NA,India,1,2,5,10.8,2.9,3,1,2.7,2,4.454347296,1
IRIS 313-10888,JAP,NA,India,1,1,7,10.1,3.3,3,1,2.6,2,4.248495242,1
IRIS 313-10889,JAP,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10891,AUS,NA,India,2,2,5,7.7,2.8,4,1,1.6,2,4.394449155,2
IRIS 313-10892,AUS,NA,India,1,2,3,7.4,2.7,3,1,1.5,2,4.248495242,1
IRIS 313-10894,AUS,NA,India,2,2,3,9.2,3.1,5,1,2.6,2,4.394449155,1
IRIS 313-10895,JAP,NA,India,2,2,5,6.7,2.5,4,1,1.2,2,4.394449155,2
IRIS 313-10900,IND,T,Cambodia,2,2,5,8.6,3.1,4,1,2.3,2,4.934473933,2
IRIS 313-10912,IND,T,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10916,JAP,T,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10918,ADM,T,Philippines,2,1,5,8.7,3.9,3,2,2.8,NA,4.770684624,1
IRIS 313-10921,IND,NA,Laos,2,1,3,9,3.1,3,2,2.7,2,4.430816799,1
IRIS 313-10922,JAP,NA,Laos,2,1,5,9.9,3.9,3,2,3.9,1,4.672828834,1
IRIS 313-10923,JAP,T,Thailand,2,1,3,9.8,3.6,3,1,3.2,1,4.663439094,1
