"X3K_DNA_IRIS_UNIQUE_ID","Status_with_Pedigree.plus.knowledge","Region_of_Origin","K9_group_Admixture","Genetic_Stock_Accession","Country_Origin_updated","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
"IRIS_313_10895",NA,"SAC","GJ-sbtrp","IRGC 127151","India",2,2,5,6.7,2.5,4,1,1.2,2,4.39444915467244,2
"IRIS_313_10900","T","SEA","XI-3","IRGC 132331","Cambodia",2,2,5,8.6,3.1,4,1,2.3,2,4.93447393313069,2
"IRIS_313_10912","T","SEA","XI-3","IRGC 136185","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10916","T","SEA","GJ-tmp",NA,"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10918","T","SER","GJ-trp","IRGC 135803","Philippines",2,1,5,8.7,3.9,3,2,2.8,NA,4.77068462446567,1
"IRIS_313_10921",NA,"SEA","XI-adm","IRGC 132427","Lao People's Democratic Republic",2,1,3,9,3.1,3,2,2.7,2,4.43081679884331,1
"IRIS_313_10922",NA,"SEA","GJ-sbtrp","IRGC 132264","Lao People's Democratic Republic",2,1,5,9.9,3.9,3,2,3.9,1,4.67282883446191,1
"IRIS_313_10923","T","SEA","GJ-sbtrp","IRGC 128256","Thailand",2,1,3,9.8,3.6,3,1,3.2,1,4.66343909411207,1
"IRIS_313_10927","T","SAC","cA (Aus)","IRGC 127828","Nepal",2,2,3,8.8,3.4,4,1,2.4,1,4.55387689160054,2
"IRIS_313_10928","T","SEA","XI-3","IRGC 128342","Thailand",1,2,5,9.6,2.5,3,1,2.4,2,4.20469261939097,1
"IRIS_313_10930","P","SAE","cA (Aus)","IRGC 127714","Bangladesh",2,2,3,7.5,3.2,2,1,2.8,1,4.38202663467388,2
"IRIS_313_10936",NA,"SER","GJ-trp","IRGC 127504","Indonesia",2,2,5,9.9,2.8,4,1,2.3,2,4.74493212836325,1
"IRIS_313_10937","T","SER","XI-3","IRGC 135788","Indonesia",2,2,3,7.8,3.4,4,1,2.5,NA,4.96284463025991,1
"IRIS_313_10938","T","SER","XI-3",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10941",NA,"SER","XI-adm","IRGC 127809","Indonesia",2,2,5,9.9,2.9,3,1,2,1,4.68213122712422,1
"IRIS_313_10942","T","SER","XI-3","IRGC 127987","Indonesia",1,1,1,8.9,2.9,3,1,2.3,1,4.78749174278205,1
"IRIS_313_10944","T","SER","XI-3","IRGC 132269","Indonesia",2,2,3,8.8,3.1,4,1,1.9,1,4.89783979995091,1
"IRIS_313_10948",NA,"SER","admix","IRGC 132363","Indonesia",2,1,7,8.5,2.7,5,2,2.3,2,4.71849887129509,1
"IRIS_313_10949",NA,"SER","GJ-trp","IRGC 127851","Indonesia",2,1,3,7.7,3.7,4,1,2.9,1,4.53259949315326,1
"IRIS_313_10954","T","SER","XI-3","IRGC 127700","Indonesia",2,2,5,8.4,3.2,4,1,3,1,4.74493212836325,1
